Vid.Name,Location,Group,Year,Month,Total.forage.behaviors,Total.flowers.visited,Avg.Temp,Max.Temp,Min.Temp,Temp.during,humidity.at.time,flowers.in.bloom
Vid1LFjun62019,Laf,Urban,2019,Jun,3,8,81,95,66,88,52,33
JuneHLLF1,Laf,Urban,2019,Jun,2,6,78.2,92,70,89,55,33
vid1_LF_jun2721,Laf,Urban,2021,Jun,3,1,79,90,75,87,61,13
vid8_LF_jul2821,Laf,Urban,2021,Jul,4,3,85,94,74,89,53,8
vid1_LF_jul2821,Laf,Urban,2021,Jul,3,7,85,94,74,89,53,8
vid5_LF_Jul621,Laf,Urban,2021,Jul,4,2,84,91,74,89,46,8
Jun2LFvid2,Laf,Urban,2020,Jun,2,8,77.63,77.63,77.63,82,53,33
vid3_LFjun921,Laf,Urban,2021,Jun,1,4,77,86,71,81,67,11
vid7_LF_Jul621,Laf,Urban,2021,Jul,4,4,84,91,74,89,46,8
JulyHLLF3,Laf,Urban,2019,Jul,2,3,80.54,88,72,84,53,18
Aug25LF3,Laf,Urban,2020,Aug,2,2,85,94,77,91,50,14
vid2_LF_jun2721,Laf,Urban,2021,Jun,2,3,79,90,75,87,61,13
vid4_LF_jun2721,Laf,Urban,2021,Jun,2,2,79,90,75,87,61,13
vid3_LF_jun2721,Laf,Urban,2021,Jun,2,1,79,90,75,87,61,13
vid1_LF_sept2821,Laf,Urban,2021,Sept,2,1,78,90,68,84,44,8
Sept7LF3,Laf,Urban,2020,Sept,3,4,82,91,75,88,57,8
vid2_LFaug2021,Laf,Urban,2021,Aug,2,1,83,91,75,88,55,9
Jul23LF2,Laf,Urban,2020,Jul,1,1,79.5,88,72,87,67,18
AUGHLLF4,Laf,Urban,2019,Aug,1,2,79.3,93,69,88,61,14
vid1_LF_aug1121,Laf,Urban,2021,Aug,1,2,88,96,81,91,51,9
vid2_LF_Jun2021,Laf,Urban,2021,Jun,2,3,84,92,76,90,57,13
Aug2LF,Laf,Urban,2020,Aug,1,2,76,86,68,82,60,14
Jul16LF2,Laf,Urban,2020,Jul,1,1,75.21,86,69,81,65,18
vid5_LFaug2021,Laf,Urban,2021,Aug,1,1,83,91,75,88,55,9
Aug25LF2,Laf,Urban,2020,Aug,1,1,85,94,77,91,50,14
vid5_LF_jun2721,Laf,Urban,2021,Jun,3,1,79,90,75,87,61,13
Vid3LFJun202019,Laf,Urban,2019,Jun,3,7,81,93,71,76,42,33
Jun2LFvid5,Laf,Urban,2020,Jun,2,4,77.63,77.63,77.63,82,53,33
Jul23LF,Laf,Urban,2020,Jul,3,1,79.5,88,72,87,67,18
Aug2LF3,Laf,Urban,2020,Aug,3,3,76,86,68,82,60,14
vid1_LF_Jul621,Laf,Urban,2021,Jul,3,1,84,91,74,89,46,8
Jul23LF4,Laf,Urban,2020,Jul,2,3,79.5,88,72,87,67,18
Aug2LF2,Laf,Urban,2020,Aug,1,4,76,86,68,82,60,14
AUGHLLF3,Laf,Urban,2019,Aug,3,4,78.8,89,71,87,61,14
vid1_LFjun321,Laf,Urban,2021,Jun,3,2,74,83,65,81,42,11
JulyHLLF1,Laf,Urban,2019,Jul,3,2,80.54,88,72,84,53,18
vid5_LF_Jun2021,Laf,Urban,2021,Jun,3,2,84,92,76,90,57,13
JulyHLLF2,Laf,Urban,2019,Jul,3,5,80.54,88,72,84,53,18
vid2_LF_jul2821,Laf,Urban,2021,Jul,4,2,84,93,76,88,55,8
Jun2LFvid3,Laf,Urban,2020,Jun,2,7,77.63,77.63,77.63,82,53,33
vid9_LF_Jul621,Laf,Urban,2021,Jul,1,2,84,91,74,89,46,8
vid5LFsept2821,Laf,Urban,2021,Sept,2,2,78,90,68,84,44,8
vid9_LFaug2021,Laf,Urban,2021,Aug,2,2,83,91,75,88,55,7
AUGHLLF6,Laf,Urban,2019,Aug,2,8,79.3,93,69,88,61,14
Vid2LFjun202019,Laf,Urban,2019,Jun,3,2,81,93,71,76,42,33
vid9_LF_jun2721,Laf,Urban,2021,Jun,2,1,79,90,75,87,61,13
vid8_LF_Jul621,Laf,Urban,2021,Jul,2,2,84,91,74,89,46,8
vid10_LFaug2021,Laf,Urban,2021,Aug,3,1,83,91,75,88,55,7
Aug2LF6,Laf,Urban,2020,Aug,2,1,76,86,68,82,60,14
Jun2LFvid1,Laf,Urban,2020,Jun,2,1,77.63,77.63,77.63,82,53,33
vid13_LFaug2021,Laf,Urban,2021,Aug,1,2,83,91,75,88,55,7
vid11_LFaug2021,Laf,Urban,2021,Aug,1,1,83,91,75,88,55,7
vid7_LF_aug1121,Laf,Urban,2021,Aug,2,3,88,96,81,91,51,9
AUGHLLF1,Laf,Urban,2019,Aug,1,2,78.8,89,71,87,61,14
LF.9.14.21vid2,Laf,Urban,2021,Sept,2,2,80,92,74,87,55,10
vid4_LFaug2021,Laf,Urban,2021,Aug,2,1,83,91,75,88,55,9
vid6_LF_aug1121,Laf,Urban,2021,Aug,1,2,88,96,81,91,51,9
JunHLLF6,Laf,Urban,2019,Jun,1,2,84.8,94,76,88,52,33
AUGHLLF5,Laf,Urban,2019,Aug,1,1,79.3,93,69,88,61,14
Jul15LF,Laf,Urban,2020,Jul,2,1,78.6,92,69,84,75,18
vid5_LF_aug1121,Laf,Urban,2021,Aug,1,3,88,96,81,91,51,9
vid7_LF_jul2821,Laf,Urban,2021,Jul,1,1,85,94,74,89,53,8
vid2_LFjun921,Laf,Urban,2021,Jun,1,1,77,86,71,81,67,11
vid4_LF_aug1121,Laf,Urban,2021,Aug,2,1,88,96,81,91,51,9
Vid3LFjun62019,Laf,Urban,2019,Jun,2,1,81,95,66,88,52,33
Aug2LF4,Laf,Urban,2020,Aug,1,1,76,86,68,82,60,14
JuneHLLF2,Laf,Urban,2019,Jun,1,3,78.2,92,70,89,55,33
vid3_LF_jul2821,Laf,Urban,2021,Jul,1,4,85,94,74,89,53,8
vid1_LFjun921,Laf,Urban,2021,Jun,1,1,77,86,71,81,67,11
vid1_LF_Jun2021,Laf,Urban,2021,Jun,1,2,84,92,76,90,57,13
Jun25LFvid2,Laf,Urban,2020,Jun,1,1,76.92,88,61,83.5,44,33
JulyHLLF4,Laf,Urban,2019,Jul,3,5,80.54,88,72,84,53,18
vid2.LF9.8.21,Laf,Urban,2021,Sept,2,3,75,84,64,81,40,9
vid4_LF_sept2821,Laf,Urban,2021,Sept,3,4,78,90,68,84,44,8
JuneHLLF4,Laf,Urban,2019,Jun,4,7,78.2,92,70,89,55,33
Sept7LF4,Laf,Urban,2020,Sept,2,4,82,91,75,88,57,8
vid2_LF_sept2821,Laf,Urban,2021,Sept,2,2,78,90,68,84,44,8
vid3_LFaug2021,Laf,Urban,2021,Aug,2,1,83,91,75,88,55,9
JulyHLLF8,Laf,Urban,2019,Jul,2,3,77.2,84,71,82,51,18
vid10_LF_Jun2021,Laf,Urban,2021,Jun,2,1,84,92,76,90,57,13
Jun18LFvid1,Laf,Urban,2020,Jun,2,4,75.68,89,61,84,35,33
vid12_LF_Jun2021,Laf,Urban,2021,Jun,1,1,84,92,76,90,57,13
vid3.LF9.8.21,Laf,Urban,2021,Sept,3,1,75,84,64,81,40,9
JuneHLLF5,Laf,Urban,2019,Jun,2,8,78.2,92,70,89,55,33
Jul23LF3,Laf,Urban,2020,Jul,3,2,79.5,88,72,87,67,18
vid9_LF_Jun2021,Laf,Urban,2021,Jun,3,2,84,92,76,90,57,13
Jul16LF,Laf,Urban,2020,Jul,2,1,75.21,86,69,81,65,18
vid12_LFaug2021,Laf,Urban,2021,Aug,2,2,83,91,75,88,55,7
JulyHLLF6,Laf,Urban,2019,Jul,2,3,77.2,84,71,82,51,18
vid8_LF_jun2721,Laf,Urban,2021,Jun,3,2,79,90,75,87,57,13
AUGHLLF2,Laf,Urban,2019,Aug,2,4,78.8,89,71,87,61,14
vid6_LF_jun2721,Laf,Urban,2021,Jun,3,2,79,90,75,87,61,13
vid1LFjun202019,Laf,Urban,2019,Jun,1,1,88,94,74,76,42,33
vid6_LF_Jun2021,Laf,Urban,2021,Jun,2,2,84,92,76,90,57,13
vid4.LF9.8.21,Laf,Urban,2021,Sept,2,6,75,84,64,81,40,9
Vid2LFjun62019,Laf,Urban,2019,Jun,3,1,81,95,66,88,52,33
JulyHLLF5,Laf,Urban,2019,Jul,1,1,80.54,88,72,84,53,18
Aug2LF5,Laf,Urban,2020,Aug,1,2,76,86,68,82,60,14
vid11_LF_Jun2021,Laf,Urban,2021,Jun,1,1,84,92,76,90,57,13
Vid4LFjun62019,Laf,Urban,2019,Jun,2,2,81,95,66,88,52,33
JulyHLLF7,Laf,Urban,2019,Jul,1,2,77.2,84,71,82,51,18
vid4_LF_jul2821,Laf,Urban,2021,Jul,2,1,85,94,74,89,53,8
Jun2LFvid4,Laf,Urban,2020,Jun,2,1,77.63,77.63,77.63,82,53,33
Jun25LFvid1,Laf,Urban,2020,Jun,1,4,76.92,88,61,83.5,44,33
vid1.LF.9.8.21,Laf,Urban,2021,Sept,1,1,75,84,64,81,40,9
vid3.LF.21.21,Laf,Urban,2021,Sept,2,5,67,79,59,64,84,8
JunHLLF7,Laf,Urban,2019,Jun,2,4,84.8,94,76,88,52,33
vid3_LF_sept2821,Laf,Urban,2021,Sept,2,1,78,90,68,84,44,8
vid6_LFjun921,Laf,Urban,2021,Jun,2,2,77,86,71,81,67,11
vid5_LFjun921,Laf,Urban,2021,Jun,2,4,77,86,71,81,67,11
JulyHLLF9,Laf,Urban,2019,Jul,1,4,77.2,84,71,82,51,18
vid3_LF_Jul621,Laf,Urban,2021,Jul,1,4,84,91,74,89,46,8
vid6_LF_jul2821,Laf,Urban,2021,Jul,2,2,85,94,74,89,53,8
vid3_LF_aug1121,Laf,Urban,2021,Aug,2,1,88,96,81,91,51,9
Jun18LFvid3,Laf,Urban,2020,Jun,1,1,75.68,89,61,84,35,33
vid2_LF_aug1121,Laf,Urban,2021,Aug,1,2,88,96,81,91,51,9
vid1_LFaug2021,Laf,Urban,2021,Aug,1,1,83,91,75,88,55,9
vid7_LF_Jun2021,Laf,Urban,2021,Jun,1,1,84,92,76,90,57,13
vid4_LF_Jun2021,Laf,Urban,2021,Jun,2,2,84,92,76,90,57,13
Vid5LfJun62019,Laf,Urban,2019,Jun,1,1,81,95,66,88,52,33
Jul16LF3,Laf,Urban,2020,Jul,1,2,75.21,86,69,81,65,18
Jun18LFvid2,Laf,Urban,2020,Jun,1,1,75.68,89,61,84,35,33
Sept7LF5,Laf,Urban,2020,Sept,2,1,82,91,75,88,57,8
vid1_LF_jul2321,Laf,Urban,2021,Jul,1,1,84,93,76,88,55,8
vid4_LFjun921,Laf,Urban,2021,Jun,0,2,77,86,71,81,67,11
vid7_LF_jun2721,Laf,Urban,2021,Jun,1,1,79,90,75,87,61,13
vid1_LRECjul1621,LREC,Prairie,2021,Jul,3,3,74.5,81,71,78,76,3
vid3_LREC_jun2321,LREC,Prairie,2021,Jun,4,2,76,86,65,80,32,7
vid1_LRECaug1221,LREC,Prairie,2021,Aug,3,2,81,96,70,93,50,3
Sept16LREC2,LREC,Prairie,2020,Sept,2,1,70,82,69.8,77,54,7
Sept2LREC6,LREC,Prairie,2020,Sept,3,3,74.9,80,70,77,76,7
Sept2LREC3,LREC,Prairie,2020,Sept,1,4,74.9,80,70,77,76,7
Sept2LREC5,LREC,Prairie,2020,Sept,1,1,74.9,80,70,77,76,7
Jul9LREC,LREC,Prairie,2020,Jul,2,2,86.63,95,76,91,54,6
Sept16LREC7,LREC,Prairie,2020,Sept,1,2,70,82,69.8,77,54,7
Aug27LREC2,LREC,Prairie,2020,Aug,3,1,82.79,87,79,84,66,7
Jul2LREC5,LREC,Prairie,2020,Jul,2,4,79.46,89,71,84,65,6
vid2_LREC_jun2321,LREC,Prairie,2021,Jun,4,3,76,86,65,80,32,7
vid1_LREC_jun2321,LREC,Prairie,2021,Jun,3,3,76,86,65,80,32,7
vid3_LRECjul1621,LREC,Prairie,2021,Jul,3,1,74.5,81,71,78,76,3
vid5_LREC_jun2921,LREC,Prairie,2021,Jun,3,2,82,92,75,89,56,7
vid6_LREC_jun2921,LREC,Prairie,2021,Jun,2,7,82,92,75,89,56,7
vid1_LREC_jun2921,LREC,Prairie,2021,Jun,3,3,82,92,75,89,56,7
vid2_LREC_jun1021,LREC,Prairie,2021,Jun,2,3,84,91,73,86,57,1
vid11_LRECjul1621,LREC,Prairie,2021,Jul,1,1,74.5,81,71,78,76,3
vid6_LREC_jun2321,LREC,Prairie,2021,Jun,4,0,76,86,65,80,32,7
vid4_LREC_jun1021,LREC,Prairie,2021,Jun,3,3,84,91,73,86,57,1
Sept2LREC2,LREC,Prairie,2020,Sept,1,4,74.9,80,70,77,76,7
vid7_LREC_jun1021,LREC,Prairie,2021,Jun,3,6,84,91,73,86,57,7
Jul2LREC6,LREC,Prairie,2020,Jul,2,2,79.46,89,71,84,65,6
Sept16LREC,LREC,Prairie,2020,Sept,1,1,70,82,69.8,77,54,7
Jul2LREC,LREC,Prairie,2020,Jun,1,1,79.46,89,71,84,65,6
vid8_LRECaug1221,LREC,Prairie,2021,Aug,1,1,81,96,70,93,50,3
Sept16LREC1,LREC,Prairie,2020,Sept,1,1,70,82,69.8,77,54,7
vid8_LREC_jun1021,LREC,Prairie,2021,Jun,2,2,84,91,73,86,57,1
vid3_LREC_jun1021,LREC,Prairie,2021,Jun,2,2,84,91,73,86,57,1
Jul2LREC2,LREC,Prairie,2020,Jul,1,1,79.46,89,71,84,65,6
vid6_LRECjul1621,LREC,Prairie,2021,Jul,1,1,74.5,81,71,78,76,3
vid5_LRECjul1621,LREC,Prairie,2021,Jul,2,2,74.5,81,71,78,76,3
vid8_LREC_jun2321,LREC,Prairie,2021,Jun,1,1,76,86,65,80,32,7
vid3_LREC_jun2921,LREC,Prairie,2021,Jun,3,1,82,92,75,89,56,7
vid9_LRECjul1621,LREC,Prairie,2021,Jul,2,1,74.5,81,71,78,76,3
vid2_LRECjul1621,LREC,Prairie,2021,Jul,3,1,74.5,81,71,78,76,3
Aug27LREC1,LREC,Prairie,2020,Aug,3,1,82.79,87,79,84,66,7
Sept2LREC4,LREC,Prairie,2020,Sept,2,5,74.9,80,70,77,76,7
vid9_LREC_jun2321,LREC,Prairie,2021,Jun,3,7,76,86,65,80,32,7
vid7_LRECjul1621,LREC,Prairie,2021,Jul,1,1,74.5,81,71,78,76,3
vid10_LREC_jun2321,LREC,Prairie,2021,Jun,2,1,76,86,65,80,32,7
vid2_LREC_jun2921,LREC,Prairie,2021,Jun,2,2,82,92,75,89,56,7
vid5_LRECaug1221,LREC,Prairie,2021,Aug,2,2,81,96,70,93,50,3
vid8_LRECjul1621,LREC,Prairie,2021,Jul,1,1,74.5,81,71,78,76,3
Sept16LREC6,LREC,Prairie,2020,Sept,1,3,70,82,69.8,77,54,7
Jun22LREC,LREC,Prairie,2020,Jun,2,3,76.51,87,68,84,60,6
vid4_LREC_jun2321,LREC,Prairie,2021,Jun,2,1,76,86,65,80,32,7
vid4_LRECjul1621,LREC,Prairie,2021,Jul,1,1,74.5,81,71,78,76,3
vid4_LRECaug1221,LREC,Prairie,2021,Aug,2,2,81,96,70,93,50,3
vid3_LRECaug1221,LREC,Prairie,2021,Aug,3,1,81,96,70,93,50,3
vid9_LREC_jun1021,LREC,Prairie,2021,Jun,3,7,84,91,73,86,57,1
Sept2LREC7,LREC,Prairie,2020,Sept,2,1,74.9,80,70,77,76,7
vid7_LRECaug1221,LREC,Prairie,2021,Aug,1,4,81,96,70,93,50,3
Sept16LREC3,LREC,Prairie,2020,Sept,2,1,70,82,69.8,77,54,7
vid9_LRECaug1221,LREC,Prairie,2021,Aug,1,1,81,96,70,93,50,3
Vid1_LREC_jun1021,LREC,Prairie,2021,Jun,0,1,84,91,73,86,57,1
vid4_LREC_jun2921,LREC,Prairie,2021,Jun,0,1,82,92,75,89,56,7
vid7_LREC_jun2321,LREC,Prairie,2021,Jun,1,1,76,86,65,80,32,7
13thvid15.9.8.21,ON,Urban,2021,Sept,3,4,75,84,64,79,44,8
vid3_13th_jul621,ON,Urban,2021,Jul,1,3,85,91,74,87,49,15
vid14_13th_aug1121,ON,Urban,2021,Aug,1,2,88,96,81,90,57,13
vid9_13th_aug1121,ON,Urban,2021,Aug,1,3,88,96,81,90,57,13
vid7_13th_aug1121,ON,Urban,2021,Aug,2,4,88,96,81,90,57,13
vid9_13th_jul621,ON,Urban,2021,Jul,2,1,85,91,74,87,49,15
vid1_13th_aug1121,ON,Urban,2021,Aug,2,2,88,96,81,90,57,13
vid2_13th_jul2321,ON,Urban,2021,Jul,2,5,84,93,76,86,59,18
Sept113th6,ON,Urban,2020,Sept,2,1,77,87,70,78,74,3
Aug2513th7,ON,Urban,2020,Aug,1,1,84,94,77,88,53,4
vid4_13th_jul2321,ON,Urban,2021,Jul,1,1,84,93,76,86,59,18
Aug2513th3,ON,Urban,2020,Aug,2,2,84,94,77,88,53,4
JuneHL13th1,ON,Urban,2019,Jun,2,1,77,88,68,80,57,19
vid8_13th_aug1121,ON,Urban,2021,Aug,2,1,88,96,81,90,57,13
vid5_13th_jul2321,ON,Urban,2021,Jul,3,1,84,93,76,86,59,18
vid2_13th_jun921,ON,Urban,2021,Jun,4,4,77,86,71,79,70,13
vid2_13th_jul2821,ON,Urban,2021,Jul,3,5,85,94,74,88,55,18
Aug2513th10,ON,Urban,2020,Aug,2,2,84,94,77,88,53,4
vid4_13th_aug1121,ON,Urban,2021,Aug,2,3,88,96,81,90,57,13
vid6_13th_aug1121,ON,Urban,2021,Aug,2,9,88,96,81,90,57,13
vid7_13th__jul621,ON,Urban,2021,Jul,3,5,85,91,74,87,49,15
vid4_13th_jul621,ON,Urban,2021,Jul,2,9,85,91,74,87,49,15
JuneHL13th2,ON,Urban,2019,Jun,2,4,77,88,68,80,57,19
vid7_13th_jul2321,ON,Urban,2021,Jul,2,2,84,93,76,86,59,18
vid3_13th_aug1121,ON,Urban,2021,Aug,3,6,88,96,81,90,57,13
Sept113th5,ON,Urban,2020,Sept,1,4,77,87,70,78,74,3
AUGHL13th2,ON,Urban,2019,Aug,2,4,81,91,71,87,48,6
vid1_13th_jul2821,ON,Urban,2021,Jul,2,2,85,94,74,88,55,18
Aug2513th11,ON,Urban,2020,Aug,1,2,84,94,77,88,53,4
vid1_13th_jun321,ON,Urban,2021,Jun,2,2,74,83,65,78,52,13
Aug2513th8,ON,Urban,2020,Aug,2,1,84,94,77,88,53,4
JulHL13th2,ON,Urban,2019,Jul,1,1,81,92,75,88,57,9
Sept113th3,ON,Urban,2020,Sept,1,2,77,87,70,78,74,3
vid1_13th_jun921,ON,Urban,2021,Jun,2,2,77,86,71,79,70,13
Aug2513th2,ON,Urban,2020,Aug,1,1,84,94,77,88,53,4
Aug2513th6,ON,Urban,2020,Aug,1,2,84,94,77,88,53,4
Aug2513th1,ON,Urban,2020,Aug,1,1,84,94,77,88,53,4
13thvid10.9.8.21,ON,Urban,2021,Sept,1,2,75,84,64,79,44,8
Sept713th2,ON,Urban,2020,Sept,1,1,82,91,75,86,57,3
vid8_13th_jul621,ON,Urban,2021,Jul,3,3,85,91,74,87,49,15
vid4_13th_jun321,ON,Urban,2021,Jun,4,5,74,83,65,78,52,13
Aug2513th5,ON,Urban,2020,Aug,2,4,84,94,77,88,53,4
vid10_13th_jul621,ON,Urban,2021,Jul,2,2,85,91,74,87,49,15
13thvid11.9.8.21,ON,Urban,2021,Sept,3,4,75,84,64,79,44,8
vid11_13th_aug1121,ON,Urban,2021,Aug,1,2,88,96,81,90,57,13
Sept713th,ON,Urban,2020,Sept,2,2,82,91,75,86,57,3
AUGHL131,ON,Urban,2019,Aug,2,1,81,91,71,87,48,6
13thvid6.9.8.21,ON,Urban,2021,Sept,2,2,75,84,64,79,44,8
vid5_13th_jul621,ON,Urban,2021,Jul,3,2,85,91,74,87,49,15
vid5_13th_jul2821,ON,Urban,2021,Jul,3,5,85,94,74,88,55,18
vid13_13th_aug1121,ON,Urban,2021,Aug,2,4,88,96,81,90,57,13
JulHL13th1,ON,Urban,2019,Jul,3,4,81,92,75,88,57,9
Sept113th2,ON,Urban,2020,Sept,2,2,77,87,70,78,74,3
vid3_13th_jul2821,ON,Urban,2021,Jul,2,3,85,94,74,88,55,18
vid4_13th_jul2821,ON,Urban,2021,Jul,2,4,85,94,74,88,55,18
13thvid16.9.8.21,ON,Urban,2021,Sept,1,2,75,84,64,79,44,8
vid12_13th_aug1121,ON,Urban,2021,Aug,1,2,88,96,81,90,57,13
Sept113th4,ON,Urban,2020,Sept,1,1,77,87,70,78,74,3
vid5_13th_jun321,ON,Urban,2021,Jun,1,1,74,83,65,78,52,13
vid6_13th_jul621,ON,Urban,2021,Jul,2,1,85,91,74,87,49,15
Aug2513th4,ON,Urban,2020,Aug,0,1,84,94,77,88,53,4
vid2.Shaw.7.26.21,Shaw,Prairie,2021,Jul,2,16,82,90,75,88,42,9
Jul15Shaw10,Shaw,Prairie,2020,Jul,1,2,79.64,93,72,85,65,17
vid2_Shaw_jul521,Shaw,Prairie,2021,Jul,4,2,82,91,73,85,49,3
JuneHLShaw3,Shaw,Prairie,2019,Jun,2,3,72.2,81,68,70,55,16
Aug12Shaw,Shaw,Prairie,2020,Aug,3,3,80,90,72,85,58,11
vid4_Shaw_jul2221,Shaw,Prairie,2021,Jul,1,1,83,90,74,86,55,9
Jul15Shaw3,Shaw,Prairie,2020,Jul,3,2,79.64,93,72,85,65,17
Sept13Shaw5,Shaw,Prairie,2020,Sept,2,6,71,73,64,72,88,4
Sept13Shaw4,Shaw,Prairie,2020,Sept,2,7,71,73,64,72,88,4
vid1.Shaw.7.26.21,Shaw,Prairie,2021,Jul,2,3,82,90,75,88,42,9
vid12_Shaw_jul521,Shaw,Prairie,2021,Jul,2,1,82,91,73,85,49,3
Jul15Shaw2,Shaw,Prairie,2020,Jul,1,1,79.64,93,72,85,65,17
JuneHLShaw6,Shaw,Prairie,2019,Jun,2,3,72.2,81,68,70,55,16
vid1_Shaw_jul2221,Shaw,Prairie,2021,Jul,2,5,83,90,74,86,55,9
JuneHLShaw4,Shaw,Prairie,2019,Jun,2,1,72.2,81,68,70,55,16
JuneHLShaw5,Shaw,Prairie,2019,Jun,1,1,72.2,81,68,70,55,16
JuneHLShaw1,Shaw,Prairie,2019,Jun,2,1,72.2,81,68,70,55,16
JulyHLShaw4,Shaw,Prairie,2019,Jul,1,2,83,91,75,88,60,17
JulyHLShaw1,Shaw,Prairie,2019,Jul,3,4,83,91,75,88,60,17
vid12.Shaw.7.26.21,Shaw,Prairie,2021,Jul,3,3,82,90,75,88,42,9
vid3_Shaw_jul2221,Shaw,Prairie,2021,Jul,2,3,83,90,74,86,55,9
AUGHLShaw4,Shaw,Prairie,2019,Aug,2,3,74,82,68,79,65,11
vid1_Shaw_jul521,Shaw,Prairie,2021,Jul,2,1,82,91,73,85,49,3
vid67_Shaw_jul521,Shaw,Prairie,2021,Jul,2,1,82,91,73,85,49,3
Sept13Shaw3,Shaw,Prairie,2020,Sept,2,5,71,73,64,72,88,4
vid9_Shaw_jul521,Shaw,Prairie,2021,Jul,2,1,82,91,73,85,49,3
AUGHLShaw3,Shaw,Prairie,2019,Aug,1,2,74,82,68,79,65,11
Jul15Shaw4,Shaw,Prairie,2020,Jul,1,3,79.64,93,72,85,65,17
Aug12Shaw2,Shaw,Prairie,2020,Aug,2,3,80,90,72,85,58,11
vid6_Shaw_aug1521,Shaw,Prairie,2021,Aug,2,4,75,82,68,81,47,5
vid2_Shaw_aug1521,Shaw,Prairie,2021,Aug,1,2,75,82,68,81,47,5
vid8.Shaw.7.26.21,Shaw,Prairie,2021,Jul,1,1,82,90,75,88,42,9
Sept12Shaw2,Shaw,Prairie,2020,Sept,1,1,71,73,64,72,88,4
Jul15Shaw7,Shaw,Prairie,2020,Jul,1,1,79.64,93,72,85,65,17
Jul15Shaw9,Shaw,Prairie,2020,Jul,1,1,79.64,93,72,85,65,17
AUGHLShaw5,Shaw,Prairie,2019,Aug,1,2,74,82,68,79,65,11
vid9.Shaw.7.26.21,Shaw,Prairie,2021,Jul,1,1,82,90,75,88,42,9
vid11.Shaw.7.26.21,Shaw,Prairie,2021,Jul,1,4,82,90,75,88,42,9
Jul15Shaw,Shaw,Prairie,2020,Jul,1,1,79.64,93,72,85,65,17
vid3.Shaw.7.26.21,Shaw,Prairie,2021,Jul,1,3,82,90,75,88,42,9
JulyHLShaw3,Shaw,Prairie,2019,Jul,0,1,83,91,75,88,60,17
vid8_Shaw_jul521,Shaw,Prairie,2021,Jul,2,1,82,91,73,85,49,3
vid6.Shaw.7.26.21,Shaw,Prairie,2021,Jul,2,13,82,90,75,88,42,9
vid1_Shaw_aug1521,Shaw,Prairie,2021,Aug,2,5,75,82,68,81,47,5
AUGHLShaw1,Shaw,Prairie,2019,Aug,2,4,74,82,68,79,65,11
AUGHLShaw2,Shaw,Prairie,2019,Aug,1,2,74,82,68,79,65,11
JulyHLShaw2,Shaw,Prairie,2019,Jul,1,2,83,91,75,88,60,17
vid10.Shaw.7.26.21,Shaw,Prairie,2021,Jul,2,3,82,90,75,88,42,9
JuneHLShaw2,Shaw,Prairie,2019,Jun,2,3,72.2,81,68,70,55,16
Jul15Shaw5,Shaw,Prairie,2020,Jul,2,1,79.64,93,72,85,65,17
Jul15Shaw8,Shaw,Prairie,2020,Jul,2,2,79.64,93,72,85,65,17
vid5_Shaw_aug1521,Shaw,Prairie,2021,Aug,1,6,75,82,68,81,47,5
vid5_Shaw_jul2221,Shaw,Prairie,2021,Jul,1,1,83,90,74,86,55,9
JulyHLShaw5,Shaw,Prairie,2019,Jul,2,1,85,95,75,91,62,17
vid7.Shaw.7.26.21,Shaw,Prairie,2021,Jul,1,5,82,90,75,88,42,9
Aug12Shaw3,Shaw,Prairie,2020,Aug,2,4,80,90,72,85,58,11
vid3_Shaw_aug1521,Shaw,Prairie,2021,Aug,2,1,75,82,68,81,47,5
vid6_Shaw_jul521,Shaw,Prairie,2021,Jul,2,2,82,91,73,85,49,3
vid13_Shaw_jul521,Shaw,Prairie,2021,Jul,2,2,82,91,73,85,49,3
Jul15Shaw6,Shaw,Prairie,2020,Jul,4,3,79.64,93,72,85,65,17
JulyHLShaw7,Shaw,Prairie,2019,Jul,2,4,85,95,75,91,62,17
vid11_Shaw_jul521,Shaw,Prairie,2021,Jul,2,3,82,91,73,85,49,3
vid5.Shaw.7.26.21,Shaw,Prairie,2021,Jul,2,8,82,90,75,88,42,9
vid2_Shaw_jul2221,Shaw,Prairie,2021,Jul,2,2,83,90,74,86,55,9
vid3_Shaw_jul521,Shaw,Prairie,2021,Jul,1,1,82,91,73,85,49,3