Percent.Scrape,Percent.RB,Percent.RF,Percent.Fly,Percent.Tap
0.53219863,0.027178082,0,0.096582192,0.006068493
0.496413333,0.016706667,0,0.07976,0
0.957092105,0.191868421,0,0.014921053,0.130828947
0.7116,0.085563636,0.029709091,0.075818182,0.172290909
0.552,0.075814286,0,0.120614286,0.037171429
0.650152542,0.106677966,0.013,0.027135593,0.074101695
0.584421875,0.082921875,0,0.0878125,0
0.527402985,0,0,0.113537313,0
0.441461538,0.033794872,0.025666667,0.075294872,0.017538462
0.767666667,0.172738095,0,0.035857143,0
0.450552239,0.016940299,0,0.019402985,0
0.731609756,0.122073171,0,0.106585366,0
0.513041667,0.182125,0,0.180708333,0
0.858,0.176428571,0,0.050071429,0
0.4001,0,0.575,6.67E-05,0
0.093548387,0.167741935,0,0.066129032,0
0.327,0,0,0.0278,0
0.872,0,0,0,0
0.499823529,0,0,0.305647059,0
0.356869565,0,0,0.105913043,0
0.340666667,0.100125,0,0.137625,0
0.35,0,0,0.009090909,0
0.639583333,0,0,0,0
0.582692308,0,0,0.051307692,0
0.511928571,0,0,0.032142857,0
0.955045455,0.699181818,0.361113636,0.004095455,0
0.713797357,0.00323348,0.023356828,0.082537445,0
0.896572414,0.109786207,0,0.017262069,0
0.830668831,0.170311688,0,0,0.115272727
0.719375,0.019,0.04375,0.01,0
0.915241935,0.131330645,0,0.010766129,0.234830645
0.792942857,0.057142857,0,0.069840714,0
0.417605634,0,0,0.015985915,0
0.560029126,0.041271845,0,0.034728155,0.072834951
0.657785714,0.259392857,0,0.033357143,0.007547619
0.909933333,0.024966667,0,0.145866667,0.24585
0.80861194,0.091119403,0.025402985,0.046820896,0
0.559354839,0.085956989,0,0.016075269,0.085967742
0.605843373,0.11939759,0.031361446,0.029361446,0.047048193
0.543866667,0.036333333,0,0.058188889,0
0.615906667,0,0,0.060493333,0
0.816178571,0.302732143,0,0.027410714,0
0.743533333,0.020583333,0,0.164066667,0
0.629275362,0.123362319,0,0.306608696,0
0.376175439,0.129692982,0.215938596,0.001438596,0
0.458989247,0.010408602,0,0,0
0.696327869,0.058540984,0,0.012032787,0
0.791339623,0.052264151,0,0,0.059792453
0.742857143,0.380952381,0,0.004761905,0
0.493357143,0.228785714,0,0.0715,0
0.518461538,0,0,0.089923077,0
0.83825,0,0,0.062625,0
0.359666667,0,0,0.090888889,0.053777778
0.4,0,0,0.013333333,0
0.320055556,0.278444444,0,0.111555556,0
0.5172,0.1235,0,0.0734,0
0.400333333,0,0,0.16675,0
0.32,0,0,0.153333333,0
0.395833333,0,0,0.1875,0
0.5715,0.07925,0,0,0
0.166846154,0,0,0.156538462,0
0.264384615,0,0,0.066769231,0
0.491,0,0,0.181142857,0
0.309363636,0,0,0.097090909,0.063727273
0.33,0.15,0,0.49,0
0.1,0,0,0.006451613,0
0.2866,0,0,0.5006,0
0.166882353,0,0,0.186470588,0
0.222416667,0,0,0.1335,0
0.218454545,0,0,0.388181818,0
0.166666667,0,0,0.055555556,0
0.818796875,0.105476563,0,0.033195313,0.0999375
0.82104878,0.107577236,0,0.024479675,0
0.817283333,0.217225,0,0.0291,0.031308333
0.7465,0.008984615,0.011030769,0.097692308,0.0041
0.830701754,0.007894737,0,0.078947368,0
0.826444444,0.122675926,0,0.013935185,0
0.876313131,0.044484848,0,0.00910101,0
0.804066038,0.260245283,0,0.054716981,0
0.826558824,0.119401961,0,0,0
0.770119266,0.10406422,0,0.050504587,0
0.724232143,0,0,0.032473214,0
0.72681134,0.092742268,0.030958763,0.003876289,0
0.595573913,0,0,0.151852174,0.076095652
0.74276087,0.054032609,0,0.005086957,0.034445652
0.737527473,0.049857143,0,0.025659341,0.010637363
0.805604938,0.229271605,0,0,0
0.639196078,0.017009804,0,0.022901961,0
0.776154762,0.279714286,0,0.144440476,0
0.854368421,0.087355263,0,0.032473684,0.208552632
0.771814815,0.228790123,0,0.092493827,0
0.90573913,0,0.00773913,0.025144928,0.003869565
0.738119048,0.101761905,0.023892857,0.006035714,0
0.539846154,0,0,0.059897436,0.011128205
0.25243038,0.012632911,0,0.133025316,0
0.643032258,0.035483871,0.214032258,0.055903226,0
0.9,0,0,0,0
0.358823529,0,0,0.029411765,0
0.83947619,0,0,0.07152381,0
0.357142857,0.012244898,0,0.088571429,0
0.527242424,0,0,0.333393939,0
0.752956522,0.030478261,0,0.042043478,0
0.53459375,0.38253125,0,0.0585625,0
0.654166667,0,0,0.164583333,0
0.89053125,0,0,0.0249375,0
0.509527273,0.341181818,0,0.077618182,0
0.704675676,0.443648649,0,0.158756757,0
0.684763158,0.282868421,0,0.013157895,0
0.5172,0,0.8215,0.05404,0
0.177557143,0,0.0174,0.042185714,0
0.634358974,0,0,0.122025641,0
0.274965517,0,0,0.087068966,0
0.53547619,0.021452381,0,0.127738095,0
0.572333333,0.069307692,0,0.021384615,0
0.595972973,0,0,0.005405405,0
0.423294118,0,0,0.016352941,0
0.3125,0,0,0.175,0
0.200166667,0,0,0.100166667,0
0.1101,0.1768,0,0.2602,0
0.1,0,0,0.363636364,0
0.111222222,0,0,0.155666667,0
0.0101,0.875,0,0.1,0
0,0.222727273,0,0.036363636,0.236363636
0,0.076128205,0,0.044487179,0
0,0,0,0.146666667,0
0,0,0.031631579,0.061473684,0
0.517407143,0.0143,0.011428571,0.01525,0
0.811409091,0.219545455,0.020102273,0.017818182,0.039056818
0.495909091,0.033363636,0.024227273,0.203272727,0
0.256410256,0.048717949,0,0.048717949,0
0.4972,0.0267,0.16515,0.30195,0
0.569117647,0,0,0.367,0
0.822090909,0,0,0.057636364,0
0.416666667,0.030555556,0,0,0
0.818541667,0,0,0.033333333,0
0.968406015,0.356879699,0.012045113,0,0
0.767643312,0.082484076,0,0.062101911,0
0.752540881,0.149628931,0.010283019,0.017628931,0.010704403
0.807605634,0.138873239,0.002816901,0.016211268,0
0.732344595,0.006540541,0.018716216,0,0
0.76325,0.0308625,0.0204375,0.0396125,0
0.689048193,0,0.006831325,0.09286747,0
0.683131579,0.019315789,0.022828947,0.1045,0
0.483468085,0.025202128,0,0.06387234,0
0.644471429,0,0,0.010957143,0
0.45794898,0.200877551,0.069795918,0,0.057887755
0.514168675,0.032566265,0.010855422,0.101686747,0
0.655777778,0,0,0.064650794,0
0.671216667,0.010566667,0.01,0.10345,0
0.50443038,0.025316456,0,0.024050633,0
0.399411765,0,0,0.055911765,0
0.376470588,0,0,0.017647059,0
0.403727273,0,0,0.060727273,0
0.364333333,0,0,0.355916667,0
0.271714286,0.0215,0,0.231214286,0
0.219823529,0.053,0,0.155058824,0
0.388888889,0,0,0.055555556,0
0.387875,0,0,0.091875,0
0.129947368,0,0.033368421,0.082526316,0
0.36,0,0,0.24,0
0.038928571,0.159690476,0.014309524,0.038119048,0
0.123230769,0,0.059,0.038461538,0
0.563398649,0.016912162,0.021189189,0,0
0.796851485,0.907514851,0.071346535,0,0
0.901202532,0.203594937,0,0.046481013,0
0.716195876,0.010319588,0.00756701,0.077082474,0
0.525522727,0,0,0.005560606,0
0.80212,0.07472,0,0.04668,0
0.46965,0.0517,0,0.1017775,0
0.747958333,0.108416667,0,0.179375,0
0.385157143,0,0,0,0
0.564340426,0,0,0.217893617,0
0.345945946,0.045945946,0,0.052027027,0.067567568
0.825580645,0.016129032,0,0,0
0.7758125,0,0,0.02396875,0
0.696764706,0.162941176,0,0.153117647,0
0.803137931,0.095517241,0.019551724,0.065586207,0
0.413745455,0.003036364,0.015163636,0.124309091,0
0.89556,0.8248,0,0.10144,0
0.581263158,0,0,0.118263158,0
0.066666667,0.033333333,0,0,0
0.0866,0,0,0.1802,0
0,0,0,0.2,0
0,0,0,0.441176471,0
0,0,0.136363636,0.1,0
0.496096774,0.01616129,0.012080645,0.104790323,0
0.665068182,0,0,0.050795455,0
0.50852,0,0,0.05128,0
0.175298507,0,0,0.048477612,0
0.368129032,0.076419355,0,0.060290323,0
0.694066667,0.260333333,0,0.0556,0
0.336068966,0.043310345,0,0.112206897,0
0.290181818,0.069787879,0,0.097090909,0
0.491736842,0.064947368,0,0.033368421,0
0.46,0,0,0,0
0.322964286,0,0,0.056,0
0.472277778,0.111166667,0,0.095555556,0
0.572,0.119214286,0,0.109642857,0
0.600583333,0.0695,0,0.04175,0
0.944073529,0.301044118,0,0,0.034095588
0.63358427,0.054741573,0.02811236,0.033741573,0.047977528
0.475033898,0.264957627,0,0.03620339,0.004245763
0.693825,0.043725,0,0.01255,0
0.750972603,0.353780822,0,0.029246575,0
0.672325,0.0646625,0,0.056725,0
0.463666667,0.060296296,0,0.1115,0.05112037
0.441119266,0.332146789,0,0.093374312,0
0.41675,0.018324074,0,0.010444444,0
0.564296296,0.361074074,0,0.126666667,0
0.517034483,0.258551724,0.060344828,0.224275862,0
0.474866667,0,0,0.122333333,0
0.625227273,0.557136364,0,0.227409091,0
0.251678571,0.086321429,0,0.050071429,0
0.225233333,0,0,0.058433333,0
0.408153846,0,0,0.048769231,0
0.349933333,0.1498,0,0.066733333,0
0.545,0,0,0.133444444,0
0.3248,0,0,0.046733333,0
0.189590909,0,0,0.348863636,0
0.173533333,0,0,0.064466667,0
0.3125,0,0,0.1875,0
0.147785714,0,0,0.054857143,0
0.144285714,0,0,0,0
0.083333333,0,0,0.039,0
0.889227848,0.196151899,0,0.062025316,0.123493671
0.393925714,0.105051429,0.006285714,0.045948571,0.010291429
0.654628866,0.036041237,0,0.038762887,0
0.731758621,0.250758621,0,0.042586207,0
0.57625,0.15975,0.021055556,0.075305556,0
0.64053125,0,0,0.0235625,0
0.503897436,0,0.017102564,0.100974359,0
0.2406125,0.0812625,0,0.01875,0
0.50003125,0.03109375,0,0.10928125,0
0.588259259,0.284259259,0,0.061777778,0.03337037
0.636227273,0.069022727,0,0.100136364,0.037159091
0.558387755,0,0.006816327,0.079,0
0.527882353,0.622921569,0.142294118,0.107784314,0
0.596081081,0.014432432,0,0.073918919,0
0.599833333,0.138111111,0,0.112111111,0
0.579837838,0.128972973,0,0.098297297,0
0.083166667,0,0,0.153166667,0
0.113272727,0,0,0.113636364,0
0.103090909,0,0,0.045545455,0
0.122222222,0,0,0.260888889,0
0,0.0712,0,0.0712,0.062266667
0,0,0,0.091818182,0
0.535406667,0.06004,0,0.491353333,0
0.580587786,0.02419084,0,0.013755725,0
0.690885714,0.054790476,0.019038095,0.009495238,0.30752381
0.663188679,0.009603774,0,0.169886792,0
0.337837838,0.135135135,0.013513514,0.051351351,0
0.6,0,0,0.0998,0
0.393466667,0.248,0.043333333,0.026666667,0
0.225705882,0.232254902,0,0.240098039,0
0.202134615,0.150134615,0,0.383076923,0
0.228456522,0.010869565,0,0.065456522,0
0.602764706,0.132294118,0,0.088529412,0
0.461235294,0,0,0.094176471,0
0.67059596,0.037855219,0,0.057242424,0
0.752295276,0.019685039,0,0.021688976,0
0.9706,0.029411765,0,0,0
0.949152542,0,0,0,0
0.9375,0.0625,0,0,0
0.711875,0,0,0.005555556,0
0.690267606,0.077492958,0.041112676,0.075830986,0
0.621644737,0.078842105,0,0.098710526,0.019671053
0.710921875,0.07428125,0,0.043203125,0
0.703589286,0.220910714,0,0.024410714,0
0.38125,0.018825,0,0,0
0.552185185,0.064814815,0,0,0
0.45,0.433333333,0,0.233333333,0
0.779764706,0.017294118,0,0.011352941,0
0.592863636,0,0,0.125363636,0
0.208823529,0,0,0.030882353,0
0.4375,0.03125,0,0.06875,0
0.289125,0,0.072291667,0.059833333,0
0.431625,0,0,0.1543125,0
0.540916667,0,0,0.12475,0
0.611111111,0,0,0.077777778,0
0.416666667,0,0,0.008333333,0
0.208333333,0,0,0.029166667,0
0.153846154,0,0,0.076923077,0
0.234125,0,0,0.1096875,0
0.144684211,0,0,0.171578947,0
0.12425,0,0,0.07875,0
0.046296296,0,0,0.120444444,0
0,0,0,0,0
0.755533333,0.166666667,0,0.008614815,0
0.606069444,0.119805556,0,0.132006944,0
0.829085714,0.157619048,0,0.223714286,0
0.874626263,0.146767677,0,0.052959596,0
0.706785714,0,0,0.0175,0
0.612903226,0,0,0.029032258,0
0.534142857,0.128685714,0,0.207228571,0
0.552818182,0.067818182,0,0.160151515,0
0.338461538,0.009615385,0,0.011538462,0
0.443589744,0.017948718,0,0.053846154,0
0.271440678,0,0,0.100084746,0
0.50003125,0,0,0.0035,0
0.752380952,0,0,0.018571429,0.619047619
0.37497619,0,0,0.115666667,0
0.527272727,0.345454545,0,0.072727273,0
0.784111111,0.120472222,0,0.041694444,0
0.676609756,0.091341463,0,0,0
0.727081081,0.108135135,0,0.040621622,0
0.204847328,0.036938931,0.006374046,0.009938931,0.026229008
0.640975,0.40125,0,0.130125,0
0.631710526,0.0855,0,0.006605263,0
0.405948276,0.005275862,0,0.116655172,0
0.638833333,0,0,0.159888889,0.041611111
0.601378378,0,0,0,0